v,j,l
-1,4398,43
1,15386,67
1,21319,107
1,15766,243
-1,2981,17
-1,27369,109
1,21647,127
-1,10265,223
1,6776,58
1,30605,100
1,21258,156
1,2008,57
1,6869,228
1,7173,225
-1,28976,247
1,25907,32
1,10795,74
-1,6037,140
-1,14625,206
-1,28154,3
-1,24365,248
-1,14036,126
-1,28841,97
1,5850,207
1,25188,11
1,5602,30
-1,24134,74
-1,6106,22
-1,26060,66
1,19068,62
-1,19932,190
1,842,111
1,10438,161
1,23431,108
1,23710,18
1,18007,23
-1,26276,102
-1,8982,94
1,30385,184
1,12143,117
1,28234,225
1,5771,122
-1,20949,164
1,28391,40
1,22479,222
-1,20427,114
-1,2402,246
1,19623,142
1,1748,172
-1,14973,173
1,21548,139
-1,10794,123
1,27078,246
-1,5841,76
-1,21609,19
-1,28858,224
-1,31223,84
-1,10124,40
-1,29545,174
-1,21336,60
1,81,153
1,12289,211
-1,2270,139
1,1686,244
1,5289,182
1,12239,129
-1,21542,25
-1,9768,5
1,14369,41
1,13469,137
-1,26726,97
1,15469,58
1,150,138
1,9044,198
-1,21382,88
-1,16957,94
-1,1143,214
-1,3533,42
1,6727,83
-1,14506,141
1,19782,156
1,31098,57
1,17755,193
1,20408,192
1,4600,64
-1,522,149
1,7132,217
-1,19902,131
-1,8682,241
-1,12205,52
-1,4675,16
-1,16755,97
1,21372,246
-1,13523,163
1,2662,167
-1,10642,250
1,30277,147
-1,24133,167
-1,23431,119
1,11000,196
-1,19634,172
-1,23761,53
1,26326,155
1,14484,196
1,1511,194
1,24205,78
1,19953,218
1,19094,114
1,1620,86
-1,10391,41
1,26622,169
-1,27659,6
-1,16713,173
-1,26961,134
-1,6067,51
-1,30657,2
-1,24347,154
1,2635,51
-1,914,125
-1,13361,200
1,3193,247
-1,9054,81
-1,11641,254
1,27706,107
1,4427,235
1,4774,56
-1,30277,252
1,13012,41
1,8979,61
-1,382,78
1,27127,69
1,2671,140
1,4002,133
1,24582,226
1,10108,236
1,9276,108
1,3186,76
1,20244,142
1,15892,152
-1,7030,57
1,14959,42
1,30430,254
-1,15885,25
1,29074,103
-1,6723,34
1,8059,26
-1,15334,73
-1,6239,11
-1,147,246
-1,8626,110
1,26959,29
-1,8819,85
-1,3657,139
1,14081,223
-1,28162,15
-1,12635,65
1,12597,140
-1,21590,204
1,12092,220
-1,26935,27
1,15880,98
1,4488,140
-1,7356,153
-1,921,17
1,25854,98
-1,4400,250
1,2418,203
-1,3028,21
1,3846,45
-1,20426,175
1,13571,142
1,29965,162
1,16479,176
1,21576,222
-1,6556,143
-1,14909,205
1,1657,46
1,6666,186
-1,22640,181
1,2034,64
1,7443,212
-1,11241,144
-1,18444,18
1,26987,81
-1,11864,93
1,25710,162
-1,10641,80
-1,28144,12
-1,10329,239
-1,26584,204
1,12788,120
-1,2193,86
-1,16167,38
-1,27973,8
1,31345,167
-1,10100,80
-1,24842,226
1,9040,137
1,29730,183
1,18470,246
1,29930,158
1,21091,235
1,6706,49
-1,30722,251
-1,9135,200
-1,21415,25
-1,8420,56
1,32301,86
1,5521,192
1,24333,13
1,13174,101
-1,5221,248
1,1471,156
-1,6038,252
1,8425,62
1,28973,149
1,19051,227
-1,12932,27
1,21354,137
1,31608,220
1,340,112
1,12853,242
-1,24848,196
1,25861,89
-1,11415,206
-1,4175,170
1,4357,230
1,32413,255
-1,25554,109
-1,11178,224
-1,6386,33
1,18156,125
1,8484,30
-1,29921,218
1,9680,34
1,1825,30
-1,19901,194
1,3739,211
-1,23394,149
1,12660,30
1,17110,113
-1,11664,58
1,10559,239
-1,22004,143
1,11329,9
-1,2962,2
-1,17784,211
-1,14165,151
1,24025,60
-1,18874,71
1,24929,198
-1,18147,192
1,3730,92
1,25873,23
1,766,253
1,7492,117
1,30727,182
1,17758,95
-1,23677,145
-1,30869,161
-1,31254,54
1,21572,249
1,30798,203
-1,30019,18
-1,314,116
-1,7697,35
1,1975,61
1,8534,194
1,5499,190
-1,27508,203
-1,32283,42
-1,32177,172
-1,4018,237
-1,7124,109
1,9519,205
1,16644,93
-1,11516,44
1,2311,10
-1,20537,192
1,11996,25
1,10932,247
1,16597,87
-1,14771,8
-1,2570,36
1,29008,85
-1,30375,103
1,31712,178
1,17814,56
-1,17310,119
1,21164,238
-1,1295,255
-1,16693,253
1,6024,212
-1,16964,134
-1,10386,165
1,11677,164
1,1995,228
-1,17961,58
1,11544,161
-1,31162,187
-1,4719,94
1,30248,128
-1,28270,241
-1,5007,165
1,20816,54
-1,12106,213
-1,5447,45
1,11778,167
-1,17253,205
1,21959,184
-1,18549,19
-1,14785,153
1,10746,164
1,3588,2
1,21567,234
-1,31006,5
1,8391,40
1,4170,73
1,20365,224
1,26001,145
1,10091,195
1,29186,34
1,16868,68
-1,14658,48
1,2391,59
-1,2333,229
1,20101,53
-1,16873,213
1,25413,139
1,14646,102
1,7012,148
1,2302,71
-1,21464,109
-1,22662,87
1,29386,210
-1,31085,201
1,11137,102
-1,32025,55
1,15250,25
1,27822,46
-1,20561,165
-1,9194,195
1,25162,237
-1,30714,108
1,19124,245
1,19616,96
-1,16874,113
-1,24107,1
1,19206,187
1,6621,47
-1,9735,88
-1,1802,181
-1,11753,251
1,7112,70
1,12604,40
-1,4953,30
-1,16341,168
-1,14607,45
1,20173,168
1,9993,106
1,27535,65
-1,18991,249
1,24147,207
1,2357,11
-1,24102,71
-1,21612,27
1,24200,42
-1,23896,62
-1,12368,5
1,11997,247
1,21230,163
1,11628,98
-1,25635,191
1,29594,190
-1,690,142
1,7552,209
-1,23562,65
1,17889,25
1,24759,46
1,8146,8
-1,26251,122
1,23471,158
-1,26844,19
-1,29806,135
1,10137,82
-1,238,250
-1,14119,156
1,11583,76
-1,16172,213
-1,2385,130
1,24404,168
-1,31681,250
-1,1754,82
1,19642,99
-1,30132,24
1,2028,80
-1,19330,148
-1,23541,150
-1,25769,115
1,13901,217
1,6392,154
1,2546,125
1,24026,61
1,21150,35
-1,17277,193
1,19223,191
1,10261,24
1,10714,244
1,5336,118
-1,31812,238
-1,887,198
1,30530,243
-1,6147,93
-1,11319,88
1,22880,180
-1,20445,37
-1,31097,181
-1,7826,33
-1,22644,203
-1,1802,148
1,24778,215
1,22223,236
1,20985,241
-1,30995,206
1,9099,64
-1,29094,12
1,8399,27
1,17690,174
1,17512,235
-1,30141,188
1,8310,47
1,26722,81
1,4724,223
1,22305,249
1,23686,211
1,3921,100
-1,3764,125
1,5733,72
1,27409,1
1,16431,52
-1,8751,175
1,2417,74
-1,8036,169
-1,13522,102
1,30771,196
1,19042,202
-1,30090,181
-1,23500,55
-1,29887,174
1,27322,134
1,21186,27
-1,19871,243
-1,3550,5
1,17838,93
-1,5853,234
-1,15363,136
1,11680,247
1,28254,238
1,12775,139
1,11128,55
-1,27832,230
1,1402,124
-1,3221,251
1,15228,11
-1,19821,151
1,20786,180
1,26582,41
1,9862,178
-1,20517,205
-1,21617,199
-1,6016,246
-1,13565,102
-1,20259,130
1,1844,153
1,13759,126
1,21259,121
-1,1579,156
-1,4888,185
-1,1503,76
-1,1466,3
1,25949,88
1,23831,213
1,30541,60
-1,21321,194
-1,10770,159
-1,23434,43
1,27509,146
-1,24001,89
-1,20880,203
-1,23680,154
1,27335,8
-1,17304,231
1,5309,190
-1,14259,132
1,17120,11
1,15388,173
-1,19523,67
-1,5525,100
-1,9687,123
-1,4211,207
-1,13795,90
-1,7644,180
-1,22493,218
-1,24594,169
-1,10482,149
-1,25150,164
1,21444,102
1,6193,98
-1,9076,184
1,19101,251
1,12941,242
-1,4265,242
1,26231,70
-1,5297,2
1,21308,54
-1,7826,244
-1,9703,180
1,25468,238
1,18758,186
-1,15663,252
1,23134,7
-1,29087,154
-1,12331,47
-1,15533,15
-1,9487,218
1,25488,16
1,24259,186
-1,12925,31
1,24185,152
-1,28957,189
1,14592,103
1,8760,188
1,28750,169
1,14581,80
-1,19494,219
1,5798,102
1,23364,19
-1,5073,5
-1,14263,101
-1,24017,79
1,13068,2
1,32538,191
-1,11027,118
-1,31053,203
-1,11308,180
1,3519,163
1,18572,216
-1,23020,25
-1,7192,61
-1,26756,123
1,4168,46
1,24019,48
1,6990,202
-1,22580,50
-1,21867,172
1,25315,28
1,26565,208
1,32705,48
1,28009,214
-1,8567,82
1,25873,71
-1,16803,62
1,17005,191
1,15262,235
-1,13124,189
1,8430,38
1,18805,192
-1,27238,182
1,27699,64
1,11166,243
-1,30510,169
-1,31487,133
-1,18608,161
1,14093,27
1,31961,67
-1,31649,107
-1,13879,33
1,12178,114
-1,21971,159
1,22786,151
-1,26594,243
1,2363,205
-1,6684,35
-1,19363,163
1,14481,219
1,32164,87
1,31804,172
1,9984,88
-1,5816,1
1,30684,48
1,29796,99
1,4975,212
-1,22938,186
-1,7529,111
1,25937,229
1,23394,80
-1,14786,169
-1,15055,41
-1,29902,227
-1,9462,3
-1,32371,86
1,5319,249
1,5039,85
1,20665,208
1,16292,142
-1,26605,255
-1,3877,39
-1,5978,37
1,4884,185
1,24574,209
-1,9984,64
1,28575,21
-1,2173,237
1,11141,54
1,22794,219
-1,14580,207
1,15102,250
-1,17543,11
1,12554,165
1,7575,196
-1,25522,74
1,30458,106
-1,11450,191
1,19941,28
-1,10494,81
-1,14700,228
-1,27126,105
1,10731,74
-1,4779,171
-1,3194,138
-1,31747,90
1,30885,151
1,21913,104
-1,24031,130
-1,25931,23
1,28774,242
-1,12710,128
1,18635,198
-1,14244,244
-1,9244,58
-1,23519,159
1,25899,172
-1,20049,189
-1,19316,199
1,2515,213
1,19066,53
-1,6902,51
1,8496,21
1,6562,108
-1,32764,130
1,5308,205
-1,10864,42
-1,12633,97
1,28987,238
1,25020,39
1,14448,157
-1,26923,112
-1,16969,241
-1,17996,77
1,16313,169
1,18423,101
1,15323,127
-1,26735,252
-1,29697,148
-1,20229,93
1,19667,219
-1,2184,45
-1,286,108
1,3499,103
1,31557,70
1,13663,59
-1,24814,17
1,17963,124
-1,18567,220
1,5196,47
-1,15017,150
1,23911,229
1,30615,126
1,6188,149
-1,28181,76
-1,7722,12
1,27663,150
-1,22086,79
1,27678,202
1,5088,195
1,10555,184
-1,5394,226
-1,1387,102
1,11920,183
1,4192,63
1,22838,62
-1,18381,223
-1,32575,93
1,3963,237
-1,7646,77
-1,28094,44
-1,172,235
-1,18991,182
1,22344,113
-1,15246,37
-1,25261,102
1,31186,213
-1,13739,247
-1,1919,192
-1,19683,129
1,4223,243
1,23332,47
1,856,183
-1,1296,3
-1,30323,225
1,8150,98
1,30564,149
-1,8033,66
-1,22975,168
-1,19379,100
-1,20254,131
1,15521,146
-1,15124,25
-1,18088,113
-1,17283,47
1,24871,253
1,22186,179
1,1030,1
-1,23251,25
1,26843,82
1,22482,241
1,25109,101
-1,6947,241
1,443,21
-1,19369,152
1,14119,100
1,28428,206
1,28092,237
1,31540,10
-1,2645,168
-1,30109,131
-1,8872,207
1,20161,46
-1,6618,87
-1,32149,90
1,5993,62
1,16978,223
-1,22813,206
-1,27010,160
1,2336,204
1,30548,245
-1,196,133
-1,25055,57
-1,29264,79
-1,2218,254
1,2834,27
1,9799,210
1,6742,150
1,6908,164
1,5101,241
1,4448,102
1,21254,87
1,26216,216
-1,13237,164
1,12283,187
-1,30515,141
1,13662,174
1,20185,250
-1,27896,17
1,4787,194
-1,24515,165
1,21145,29
-1,13798,130
-1,1950,47
1,31065,133
-1,13530,43
-1,4147,239
1,368,6
-1,6860,219
-1,13168,192
-1,9578,140
1,16676,80
-1,6564,13
-1,18845,97
1,20818,87
-1,18964,193
-1,21375,111
-1,205,47
1,20061,58
1,15221,212
1,15469,247
-1,5614,235
1,4674,74
-1,119,242
1,3098,68
1,7368,216
1,25155,238
1,24792,20
1,7265,43
-1,28223,65
-1,24224,128
-1,306,172
1,9116,42
-1,2833,73
1,6448,168
1,15810,0
-1,28054,73
1,6294,99
1,32147,134
1,21470,188
-1,23727,24
-1,31743,28
-1,20377,48
-1,12874,92
1,24524,114
-1,28220,221
-1,20342,82
-1,18512,165
-1,8437,163
1,25018,116
-1,27225,171
-1,11525,163
1,3095,127
-1,9967,4
1,8683,245
1,13878,206
1,16415,102
1,25813,210
-1,31476,13
1,1268,241
-1,18703,119
1,29852,14
1,12763,204
-1,19515,116
1,6929,228
1,5289,94
-1,4312,35
1,6294,156
-1,11912,248
-1,24041,26
1,23414,87
-1,15853,17
-1,445,222
1,29263,96
-1,17401,18
-1,12803,133
-1,11777,131
1,27920,27
-1,27725,100
1,21128,179
1,4179,128
-1,29622,75
-1,25045,62
1,25719,118
-1,23311,137
1,23912,230
-1,28151,15
1,1578,196
-1,555,90
-1,6113,128
-1,12908,231
1,18464,202
1,23345,210
1,10004,14
-1,25222,54
1,26436,254
1,20011,126
-1,16777,31
1,18883,64
1,15842,35
1,21210,99
-1,18292,140
1,896,2
-1,8527,1
1,17014,169
1,5104,170
1,19295,109
1,25426,98
-1,9703,100
1,16984,2
1,29155,104
1,22776,167
1,1286,202
1,24850,226
1,26554,172
-1,13183,161
-1,27939,83
-1,21592,207
-1,7920,199
1,4373,59
1,23519,3
-1,10276,57
1,3967,129
1,4011,3
1,22701,13
1,22155,95
-1,23802,106
1,15932,139
-1,4850,7
-1,29401,177
1,15215,202
1,3082,103
-1,28375,30
1,19828,177
-1,27177,136
-1,1051,247
1,7971,127
1,8234,5
1,7855,79
1,9926,242
1,17473,105
-1,9449,136
-1,15519,181
1,14428,55
-1,11645,225
-1,9200,235
-1,2222,249
-1,22960,198
1,30570,133
-1,1885,119
-1,22719,255
1,1556,102
1,31394,99
-1,4170,139
1,28064,104
-1,6617,207
1,13509,221
-1,7087,168
1,26609,85
1,29010,139
-1,18160,165
1,11389,86
1,30579,74
-1,23270,75
1,25401,1
-1,3396,55
-1,25810,180
1,6921,142
-1,26443,240
1,8426,174
-1,18190,169
1,14676,171
-1,2023,47
-1,2384,184
1,30889,180
-1,15837,147
1,31833,232
-1,2076,130
1,18839,203
-1,12409,191
1,873,103
-1,24197,204
-1,31184,10
-1,17926,12
1,7755,88
-1,24810,35
-1,6693,204
-1,14833,174
1,5998,91
-1,26166,91
-1,12131,183
1,31024,65
-1,30956,124
-1,14678,134
-1,6963,169
-1,29669,180
1,28831,199
-1,7795,48
1,19801,104
1,11155,124
1,27669,26
-1,8252,11
1,31469,68
-1,5,53
-1,10154,215
-1,10322,143
1,21823,206
-1,3839,182
1,2413,18
-1,15989,251
1,8085,218
-1,19789,206
1,20523,201
1,20616,141
-1,25639,143
1,2,219
-1,778,130
1,27637,127
1,10036,151
1,16265,74
1,3640,108
-1,31383,16
1,25577,129
-1,9087,10
-1,1702,90
1,9068,167
-1,1871,218
1,24921,128
1,8761,97
1,24726,111
-1,4380,28
-1,5292,242
1,29773,49
-1,30392,49
1,22192,250
-1,22957,175
1,15814,37
-1,330,173
1,26006,25
-1,6825,170
-1,25919,39
-1,11995,5
1,12241,217
-1,23827,195
-1,2357,98
-1,24174,63
-1,5765,208
1,19633,173
1,24831,175
-1,20353,239
-1,12318,252
-1,24516,104
1,30864,19
-1,3174,181
1,23036,31
1,24094,98
1,7371,25
-1,10801,245
1,9813,76
1,20273,5
-1,13567,32
-1,6688,216
1,1589,199
-1,22916,184
1,10886,246
1,8025,112
-1,3583,135
-1,8386,67
1,8951,110
-1,19412,226
1,16504,53
-1,17015,113
1,15755,0
1,17177,231
1,10791,10
-1,27351,41
-1,20167,69
-1,14920,29
1,11230,10
-1,14129,244
1,23932,245
-1,32047,233
-1,4946,9
1,7741,146
1,10679,52
-1,19974,107
1,13391,237
1,10584,211
-1,28112,221
-1,18598,58
1,30548,78
-1,30535,215
-1,16481,201
1,947,106
-1,11144,204
1,1318,211
-1,10548,98
-1,27967,235
1,22947,168
-1,30097,61
-1,6441,147
-1,813,84
1,14543,210
1,24152,246
1,10855,216
1,4708,88
1,14864,65
-1,28151,198
1,18155,122
1,19996,145
1,2034,105
1,1164,13
-1,31724,66
1,6215,232
-1,1039,69
1,13614,221
-1,27249,177
1,29875,174
1,16397,103
1,12002,81
-1,27899,112
1,22496,176
1,6250,109
-1,14743,244
-1,10585,241
1,17269,82
1,4086,77
-1,14766,74
-1,11734,182
1,22779,251
-1,32339,183
-1,13054,255
-1,31205,247
1,31162,86
1,14637,18
-1,10655,234
-1,23707,92
-1,28251,149
-1,13026,46
1,25216,146
-1,16504,78
-1,29449,92
-1,32517,149
-1,30844,113
-1,20310,102
-1,16133,183
1,5126,58
1,10939,41
-1,21062,100
-1,11297,244
-1,26336,172
-1,25432,87
-1,17676,41
-1,7549,23
-1,12049,208
1,13506,6
-1,18684,126
1,24036,39
-1,20561,43
1,20912,132
-1,28583,129
-1,19765,237
-1,21700,233
-1,20619,67
1,13269,141
1,32747,38
-1,27617,70
1,31816,110
-1,32414,186
-1,12617,42
1,19697,120
1,21245,40
1,16691,79
1,16256,238
1,25104,118
-1,25216,252
1,31513,44
1,25701,174
-1,13593,144
-1,13898,48
1,12628,45
1,1973,167
-1,1921,161
-1,8503,87
-1,3359,7
1,29922,132
1,30055,18
1,12765,99
1,21837,221
-1,22505,217
-1,10870,54
1,5165,29
-1,26621,188
1,28632,44
1,32548,143
-1,31253,53
-1,17215,236
-1,19784,174
1,19872,180
-1,20522,172
1,22855,253
1,2995,130
-1,30620,83
-1,31313,98
-1,3740,143
1,4037,230
1,22337,64
1,13307,20
1,25474,67
-1,23434,153
1,31398,143
-1,3970,201
-1,22395,91
1,17150,19
1,21691,239
-1,4958,116
-1,25053,153
1,28287,11
1,3143,116
1,3330,74
-1,12966,87
-1,21580,87
1,21002,54
1,154,6
-1,13583,225
-1,3449,235
-1,22703,81
-1,17262,67
-1,18143,131
-1,31080,85
-1,11946,219
1,6399,97
-1,12639,168
-1,986,187
-1,21733,252
-1,15955,141
-1,29914,134
1,11734,121
-1,21412,177
-1,19698,115
-1,14603,78
-1,24608,177
-1,11693,250
-1,30915,68
1,19881,173
1,8057,41
1,5438,188
1,32272,14
1,3559,0
-1,11672,238
-1,17823,200
-1,3633,13
-1,2750,224
1,17742,6
1,7967,244
-1,18278,196
-1,17816,246
-1,14538,85
-1,5131,104
-1,14919,70
1,30401,73
1,7382,75
-1,6709,190
-1,30941,197
-1,26781,116
-1,30929,207
-1,8690,199
-1,24933,142
-1,24727,246
-1,11997,158
-1,22284,7
1,31906,133
1,20229,252
-1,26372,114
1,15117,28
-1,19193,58
1,16093,84
-1,27559,73
1,24012,2
1,23943,95
-1,3151,230
1,1743,239
-1,29316,243
1,28878,237
-1,24372,37
1,14642,89
1,6441,65
1,8047,124
1,1441,78
-1,13753,178
1,16657,190
-1,2884,129
1,11746,131
1,23201,248
1,32411,94
-1,18855,18
1,10615,94
-1,13528,116
1,6173,73
-1,17653,133
1,4192,107
-1,8378,14
1,29794,222
-1,3331,32
1,24128,182
1,9355,50
1,5120,226
1,11800,157
1,15169,8
1,28284,87
1,14086,28
-1,26418,225
-1,19194,186
1,22837,191
1,14744,237
-1,14131,142
1,6551,90
-1,18996,123
-1,19594,59
1,2735,196
1,11514,144
-1,31261,208
-1,7570,217
1,2786,246
1,1586,82
1,30060,186
-1,21278,155
1,6646,145
-1,9279,20
-1,32658,44
-1,26590,243
1,12904,211
-1,13873,93
1,24157,163
-1,25024,240
1,15793,175
-1,14907,34
1,11086,44
1,8994,234
1,22872,44
1,27631,14
-1,28388,177
-1,27428,46
-1,6607,72
1,21850,14
-1,27722,33
-1,2274,59
-1,32741,141
-1,8342,240
1,1589,78
1,15272,28
-1,16069,191
-1,7911,225
1,3508,192
-1,27596,228
-1,27781,237
-1,22367,25
-1,1326,36
-1,21244,14
-1,25580,183
1,20826,234
-1,15227,37
-1,31734,128
-1,18847,43
-1,1915,186
1,4917,12
1,1589,190
1,9547,221
1,14072,195
-1,26920,37
1,16595,43
1,16882,121
-1,19876,168
1,6734,0
1,8264,64
1,10178,59
-1,8317,83
-1,10428,208
1,24300,153
-1,25372,44
-1,22517,186
1,26867,112
1,3919,70
-1,4964,149
1,2936,244
-1,1642,81
-1,1274,21
-1,21925,23
1,9808,166
1,13900,255
1,6610,117
-1,10178,18
-1,25478,57
1,27032,199
-1,11405,112
-1,30897,143
1,7575,40
1,19730,206
-1,19457,193
1,28305,223
-1,21712,135
1,21639,196
-1,10696,38
-1,4401,100
-1,26911,203
1,17629,226
-1,27562,195
-1,4362,62
1,11774,115
1,26851,112
1,17333,18
-1,19981,228
-1,32393,172
-1,25379,58
-1,19845,46
-1,1363,185
-1,31506,57
-1,7179,9
-1,9379,2
-1,10151,155
-1,11307,134
-1,22033,239
1,396,187
1,5947,123
-1,16058,239
1,29578,108
1,4482,74
-1,15146,28
-1,1084,46
-1,13006,123
1,13619,182
-1,16767,114
1,3536,181
-1,6423,244
1,16080,50
-1,935,55
1,4010,87
-1,15748,133
1,14260,140
1,8960,59
-1,7209,56
1,29544,63
1,17753,1
1,28407,174
1,29468,167
1,29309,41
-1,28190,14
-1,31202,39
1,31912,116
-1,14364,217
1,25217,30
-1,3471,151
1,30831,253
-1,4800,140
1,22321,94
1,7427,185
1,29054,116
1,18967,173
-1,8478,106
-1,1635,47
-1,14673,31
1,3362,110
-1,16390,64
1,15051,62
-1,18482,221
-1,8603,54
1,12657,16
-1,26203,242
-1,31097,65
-1,27057,2
1,6918,216
-1,22638,236
-1,8896,66
-1,27516,230
-1,21701,63
-1,20411,31
1,2518,167
1,32633,95
1,2290,53
1,21973,65
1,13006,58
1,17653,36
1,32547,230
-1,18719,162
-1,15921,228
-1,32227,46
1,3746,0
-1,22356,112
1,575,219
-1,6529,200
1,12345,28
1,16224,126
1,14185,83
-1,26793,40
-1,3409,227
1,23019,97
-1,6811,165
-1,25292,245
1,12409,203
1,31965,74
-1,25676,84
-1,14257,112
1,21527,50
-1,5620,88
-1,9193,247
1,29136,39
-1,19089,215
1,29960,28
1,1489,148
1,27140,0
-1,12675,239
1,24556,54
-1,21312,223
-1,6657,235
1,19337,232
-1,19590,155
-1,17736,72
-1,16547,62
1,10828,207
-1,10747,231
-1,25539,150
-1,3215,200
-1,21159,250
-1,5152,31
1,31158,49
-1,20885,10
1,26214,100
-1,31577,239
1,14295,185
1,1323,122
1,26234,167
-1,17232,120
-1,27712,236
1,18610,190
1,15045,10
-1,22770,86
1,3912,161
1,28341,146
-1,14212,35
-1,17747,34
-1,32226,171
1,14527,15
-1,19080,100
1,23373,126
-1,18615,87
1,26068,187
1,30954,234
1,25643,29
1,21721,133
1,11846,57
1,11705,231
1,17407,242
1,10314,202
1,9989,173
1,13864,79
-1,13002,1
1,24882,129
-1,16051,243
1,31778,244
1,21331,79
-1,27017,196
1,18276,170
1,9860,148
1,10564,234
-1,2668,9
-1,23120,248
1,4159,60
-1,5426,90
-1,28010,127
1,17195,226
1,7053,46
1,12573,229
1,6240,108
1,15903,170
-1,32562,160
-1,2578,250
-1,20981,49
1,6740,33
1,14255,236
-1,15557,187
-1,5297,128
-1,21990,134
1,5369,252
-1,22169,59
-1,32457,230
-1,26893,193
1,6491,64
-1,14244,219
1,12889,1
1,9990,138
1,2447,96
1,6673,142
-1,26923,150
1,15384,246
1,8335,98
1,24302,150
-1,30538,110
-1,7571,45
1,10323,191
1,26633,249
-1,15026,60
-1,6147,32
1,27646,18
-1,6893,100
-1,101,118
-1,6742,14
-1,16792,137
-1,20000,3
-1,24990,244
-1,10418,204
1,24689,14
1,21301,38
1,15089,229
-1,2144,179
-1,27804,70
-1,29430,172
-1,17197,106
-1,24644,200
1,27746,117
1,2683,68
-1,16467,30
1,25834,78
-1,5966,85
1,12882,45
-1,2849,202
1,7419,106
-1,30475,63
1,20606,204
-1,28676,153
1,13018,199
1,28912,228
-1,7521,8
1,2783,99
-1,20767,132
-1,10426,74
-1,11606,210
-1,4773,223
1,20020,164
-1,27720,120
1,9234,57
1,26883,75
-1,28212,180
1,31303,140
-1,1533,26
-1,23880,117
1,8707,77
-1,17999,99
-1,373,7
-1,22489,79
-1,10694,205
1,12845,16
-1,30085,232
-1,24629,235
-1,2697,100
1,17027,239
-1,4769,81
-1,3108,117
1,4818,246
-1,5918,172
-1,25799,167
1,17328,72
-1,19197,28
1,31349,10
-1,24788,157
1,27304,186
-1,31500,222
1,23225,197
1,18532,104
-1,12709,180
-1,28162,204
1,28730,154
1,10339,46
1,293,76
-1,11438,249
1,19205,212
1,22927,46
-1,8096,227
1,6260,14
1,17731,58
-1,10598,200
1,29893,75
1,19054,28
1,29682,102
1,20239,180
-1,4933,233
-1,24610,255
-1,21063,140
-1,3328,85
-1,27540,187
-1,4558,242
-1,5960,53
-1,790,106
-1,19036,186
-1,31978,2
